Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc,Learning_Rate,Time_Sec,RAM_Usage_Percent,VRAM_Usage_GB
1,1.0176,0.0,0.0,0.0,0.07004511278195488,0,95.3,2.22
2,1.0788,1.3989,0.8347,0.5136,0.03991321203007519,0,91.5,2.49
3,1.1067,1.3503,0.865,0.5309,0.009649311278195488,0,90.7,2.52
4,0.9032,1.2202,0.9129,0.6013,0.009406,0,91.5,2.45
5,0.956,1.1677,0.9303,0.6257,0.009208000000000001,0,92.9,2.36
6,0.8489,1.1357,0.9324,0.6394,0.00901,0,87.9,2.54
7,0.9781,1.1104,0.9372,0.6433,0.008812,0,90.5,2.47
8,0.7909,1.0981,0.9354,0.6465,0.008614,0,90.7,2.48
9,0.8453,1.0454,0.9458,0.6691,0.008416,0,93.7,2.18
